# id	book	path	title
40wht65a	dotnet-compact-framework	docs/mslearn/dotnet-compact-framework/40wht65a.html	DSACryptoServiceProvider.CreateSignature Method  (System.Security.Cryptography)
42b2ac5s	dotnet-compact-framework	docs/mslearn/dotnet-compact-framework/42b2ac5s.html	ICryptoTransform Interface (System.Security.Cryptography)
43d8edd7	dotnet-compact-framework	docs/mslearn/dotnet-compact-framework/43d8edd7.html	FtpWebResponse.GetResponseStream Method  (System.Net)
454zbts9	dotnet-compact-framework	docs/mslearn/dotnet-compact-framework/454zbts9.html	FileSystemInfo.LastWriteTimeUtc Property  (System.IO)
46fkawb5	dotnet-compact-framework	docs/mslearn/dotnet-compact-framework/46fkawb5.html	File.WriteAllBytes Method  (System.IO)
47ek66wy	dotnet-compact-framework	docs/mslearn/dotnet-compact-framework/47ek66wy.html	FileStream Constructor (String, FileMode) (System.IO)
48ywhe1a	dotnet-compact-framework	docs/mslearn/dotnet-compact-framework/48ywhe1a.html	FileInfo.DirectoryName Property  (System.IO)
49xzzhb4	dotnet-compact-framework	docs/mslearn/dotnet-compact-framework/49xzzhb4.html	NetworkCredential Class (System.Net)
4a567zbb	dotnet-compact-framework	docs/mslearn/dotnet-compact-framework/4a567zbb.html	FileSystemInfo.Delete Method  (System.IO)
4b4yadhf	dotnet-compact-framework	docs/mslearn/dotnet-compact-framework/4b4yadhf.html	HttpListenerResponse.ContentEncoding Property  (System.Net)
4b65xbt2	dotnet-compact-framework	docs/mslearn/dotnet-compact-framework/4b65xbt2.html	KeyedHashAlgorithm.Dispose Method (Boolean) (System.Security.Cryptography)
4cyf24ss	dotnet-compact-framework	docs/mslearn/dotnet-compact-framework/4cyf24ss.html	DirectoryInfo.GetFiles Method  (System.IO)
4ds43y3w	dotnet-compact-framework	docs/mslearn/dotnet-compact-framework/4ds43y3w.html	HttpWebRequest.AddRange Method (Int32) (System.Net)
4hbkc9z9	dotnet-compact-framework	docs/mslearn/dotnet-compact-framework/4hbkc9z9.html	FileSystemInfo.Attributes Property  (System.IO)
4k1ky59z	dotnet-compact-framework	docs/mslearn/dotnet-compact-framework/4k1ky59z.html	DSAParameters.Counter Field (System.Security.Cryptography)
4tzax7k5	dotnet-compact-framework	docs/mslearn/dotnet-compact-framework/4tzax7k5.html	SymmetricAlgorithm.PaddingValue Field (System.Security.Cryptography)
4w16ys4h	dotnet-compact-framework	docs/mslearn/dotnet-compact-framework/4w16ys4h.html	WebHeaderCollection.Set Method  (System.Net)
4xss82a0	dotnet-compact-framework	docs/mslearn/dotnet-compact-framework/4xss82a0.html	FtpWebResponse.Close Method  (System.Net)
4ybt3ba8	dotnet-compact-framework	docs/mslearn/dotnet-compact-framework/4ybt3ba8.html	Directory.SetCurrentDirectory Method  (System.IO)
4z36sx0f	dotnet-compact-framework	docs/mslearn/dotnet-compact-framework/4z36sx0f.html	FileAccess Enumeration (System.IO)
4zs202hy	dotnet-compact-framework	docs/mslearn/dotnet-compact-framework/4zs202hy.html	HttpWebRequest.ProtocolVersion Property  (System.Net)
4zxcdzcx	dotnet-compact-framework	docs/mslearn/dotnet-compact-framework/4zxcdzcx.html	DirectoryInfo.Parent Property  (System.IO)
4zxhkec2	dotnet-compact-framework	docs/mslearn/dotnet-compact-framework/4zxhkec2.html	RSAParameters.D Field (System.Security.Cryptography)
5128sby8	dotnet-compact-framework	docs/mslearn/dotnet-compact-framework/5128sby8.html	X509Certificate Constructor (Byte[]) (System.Security.Cryptography.X509Certificates)
53zwads1	dotnet-compact-framework	docs/mslearn/dotnet-compact-framework/53zwads1.html	HttpListener.Start Method  (System.Net)
54a0at6s	dotnet-compact-framework	docs/mslearn/dotnet-compact-framework/54a0at6s.html	Directory.CreateDirectory Method  (System.IO)
556z1d47	dotnet-compact-framework	docs/mslearn/dotnet-compact-framework/556z1d47.html	FileSystemInfo.LastAccessTime Property  (System.IO)
56hd78wh	dotnet-compact-framework	docs/mslearn/dotnet-compact-framework/56hd78wh.html	WebRequest.GetResponse Method  (System.Net)
56sa7yah	dotnet-compact-framework	docs/mslearn/dotnet-compact-framework/56sa7yah.html	SymmetricAlgorithm.LegalBlockSizes Property  (System.Security.Cryptography)
580swbh3	dotnet-compact-framework	docs/mslearn/dotnet-compact-framework/580swbh3.html	WebResponse.Headers Property  (System.Net)
58ey2c8s	dotnet-compact-framework	docs/mslearn/dotnet-compact-framework/58ey2c8s.html	HttpListenerRequest.ContentType Property  (System.Net)
58h31t36	dotnet-compact-framework	docs/mslearn/dotnet-compact-framework/58h31t36.html	X509Certificate.GetRawCertData Method  (System.Security.Cryptography.X509Certificates)
5a726eax	dotnet-compact-framework	docs/mslearn/dotnet-compact-framework/5a726eax.html	SymmetricAlgorithm.IVValue Field (System.Security.Cryptography)
5c39ch43	dotnet-compact-framework	docs/mslearn/dotnet-compact-framework/5c39ch43.html	HttpListenerRequest.UserHostAddress Property  (System.Net)
5f0c0cw5	dotnet-compact-framework	docs/mslearn/dotnet-compact-framework/5f0c0cw5.html	SymmetricAlgorithm.KeySizeValue Field (System.Security.Cryptography)
5f45t420	dotnet-compact-framework	docs/mslearn/dotnet-compact-framework/5f45t420.html	RNGCryptoServiceProvider Class (System.Security.Cryptography)
5h0z48dh	dotnet-compact-framework	docs/mslearn/dotnet-compact-framework/5h0z48dh.html	FileStream Constructor (String, FileMode, FileAccess, FileShare) (System.IO)
5hbat70x	dotnet-compact-framework	docs/mslearn/dotnet-compact-framework/5hbat70x.html	X509FindType Enumeration (System.Security.Cryptography.X509Certificates)
5hh0y140	dotnet-compact-framework	docs/mslearn/dotnet-compact-framework/5hh0y140.html	File.OpenWrite Method  (System.IO)
5hxzsz7a	dotnet-compact-framework	docs/mslearn/dotnet-compact-framework/5hxzsz7a.html	WebException Constructor (String, WebExceptionStatus) (System.Net)
5t0z6fse	dotnet-compact-framework	docs/mslearn/dotnet-compact-framework/5t0z6fse.html	SymmetricAlgorithm.BlockSize Property  (System.Security.Cryptography)
5t9y35bd	dotnet-compact-framework	docs/mslearn/dotnet-compact-framework/5t9y35bd.html	WebRequest Class (System.Net)
5zke746s	dotnet-compact-framework	docs/mslearn/dotnet-compact-framework/5zke746s.html	HttpListenerResponse Class (System.Net)
61yeb601	dotnet-compact-framework	docs/mslearn/dotnet-compact-framework/61yeb601.html	SymmetricAlgorithm.Mode Property  (System.Security.Cryptography)
62t64db3	dotnet-compact-framework	docs/mslearn/dotnet-compact-framework/62t64db3.html	Directory.Delete Method (String) (System.IO)
64tz4bew	dotnet-compact-framework	docs/mslearn/dotnet-compact-framework/64tz4bew.html	HashAlgorithm.InputBlockSize Property  (System.Security.Cryptography)
6877ayz6	dotnet-compact-framework	docs/mslearn/dotnet-compact-framework/6877ayz6.html	WebResponse Class (System.Net)
68a4kat9	dotnet-compact-framework	docs/mslearn/dotnet-compact-framework/68a4kat9.html	HttpListenerRequest.Headers Property  (System.Net)
693w4b3s	dotnet-compact-framework	docs/mslearn/dotnet-compact-framework/693w4b3s.html	SerialPort.StopBits Property  (System.IO.Ports)
69xzbdd5	dotnet-compact-framework	docs/mslearn/dotnet-compact-framework/69xzbdd5.html	SerialPort Constructor (String, Int32, Parity) (System.IO.Ports)
6a66fkad	dotnet-compact-framework	docs/mslearn/dotnet-compact-framework/6a66fkad.html	File.Move Method  (System.IO)
6b40c5ay	dotnet-compact-framework	docs/mslearn/dotnet-compact-framework/6b40c5ay.html	FileMode Enumeration (System.IO)
6cc21s6f	dotnet-compact-framework	docs/mslearn/dotnet-compact-framework/6cc21s6f.html	RSAParameters.Exponent Field (System.Security.Cryptography)
6dc7d3h7	dotnet-compact-framework	docs/mslearn/dotnet-compact-framework/6dc7d3h7.html	WebResponse.ResponseUri Property  (System.Net)
6hb8zdk1	dotnet-compact-framework	docs/mslearn/dotnet-compact-framework/6hb8zdk1.html	IWebProxy.GetProxy Method  (System.Net)
6kek255h	dotnet-compact-framework	docs/mslearn/dotnet-compact-framework/6kek255h.html	HttpListenerResponse.RedirectLocation Property  (System.Net)
6kh5sk89	dotnet-compact-framework	docs/mslearn/dotnet-compact-framework/6kh5sk89.html	HttpWebResponse.Headers Property  (System.Net)
6t7d1whs	dotnet-compact-framework	docs/mslearn/dotnet-compact-framework/6t7d1whs.html	HttpWebRequest.Address Property  (System.Net)
6y5awhcx	dotnet-compact-framework	docs/mslearn/dotnet-compact-framework/6y5awhcx.html	HttpListener.Abort Method  (System.Net)
711ye59h	dotnet-compact-framework	docs/mslearn/dotnet-compact-framework/711ye59h.html	SerialPort.BaudRate Property  (System.IO.Ports)
71b57yke	dotnet-compact-framework	docs/mslearn/dotnet-compact-framework/71b57yke.html	NetworkCredential Constructor (String, String) (System.Net)
73f5ea69	dotnet-compact-framework	docs/mslearn/dotnet-compact-framework/73f5ea69.html	DSACryptoServiceProvider.VerifySignature Method  (System.Security.Cryptography)
73k4xz4k	dotnet-compact-framework	docs/mslearn/dotnet-compact-framework/73k4xz4k.html	FileSystemInfo.CreationTimeUtc Property  (System.IO)
74y0chzh	dotnet-compact-framework	docs/mslearn/dotnet-compact-framework/74y0chzh.html	HttpWebResponse.ContentType Property  (System.Net)
