#page_class	page_id	source_id	title	declaration_status	path
concept_or_overview	_wcepb_Creating_a_Custom_Shell	chm-windows-ce-3.0	Creating a Custom Shell	no_candidate	docs/chm/windows-ce-3.0/_wcepb_Creating_a_Custom_Shell.html
prose_page_code_fragment	_wcepb_Creating_a_Signature	chm-windows-ce-3.0	Creating a Signature	matched	docs/chm/windows-ce-3.0/_wcepb_Creating_a_Signature.html
concept_or_overview	_wcepb_Creating_a_Trusted_Environment	chm-windows-ce-3.0	Creating a Trusted Environment	no_candidate	docs/chm/windows-ce-3.0/_wcepb_Creating_a_Trusted_Environment.html
concept_or_overview	_wcepb_Customizing_Notification_Events	chm-windows-ce-3.0	Customizing Notification Events	no_candidate	docs/chm/windows-ce-3.0/_wcepb_Customizing_Notification_Events.html
concept_or_overview	_wcepb_Debug_Messages_for_the_Notification_Subsystem	chm-windows-ce-3.0	Debug Messages for the Notification Subsystem	no_candidate	docs/chm/windows-ce-3.0/_wcepb_Debug_Messages_for_the_Notification_Subsystem.html
concept_or_overview	_wcepb_Enabling_Shell_Callback_Functions	chm-windows-ce-3.0	Enabling Shell Callback Functions	no_candidate	docs/chm/windows-ce-3.0/_wcepb_Enabling_Shell_Callback_Functions.html
concept_or_overview	_wcepb_Enabling_a_Backlight	chm-windows-ce-3.0	Enabling a Backlight	assignment_in_block	docs/chm/windows-ce-3.0/_wcepb_Enabling_a_Backlight.html
concept_or_overview	_wcepb_Generating_Notifications	chm-windows-ce-3.0	Generating Notifications	no_candidate	docs/chm/windows-ce-3.0/_wcepb_Generating_Notifications.html
concept_or_overview	_wcepb_Hiding_System_Sound_Events	chm-windows-ce-3.0	Hiding System Sound Events	statement_keyword	docs/chm/windows-ce-3.0/_wcepb_Hiding_System_Sound_Events.html
concept_or_overview	_wcepb_Implementing_Notifications	chm-windows-ce-3.0	Implementing Notifications	no_candidate	docs/chm/windows-ce-3.0/_wcepb_Implementing_Notifications.html
concept_or_overview	_wcepb_Implementing_Progressive_Alarms	chm-windows-ce-3.0	Implementing Progressive Alarms	no_candidate	docs/chm/windows-ce-3.0/_wcepb_Implementing_Progressive_Alarms.html
concept_or_overview	_wcepb_Implementing_a_Critical_to_Off_Interrupt	chm-windows-ce-3.0	Implementing a Critical-to-Off Interrupt	statement_keyword	docs/chm/windows-ce-3.0/_wcepb_Implementing_a_Critical_to_Off_Interrupt.html
concept_or_overview	_wcepb_Implementing_the_Notification_UI	chm-windows-ce-3.0	Implementing the Notification UI	no_candidate	docs/chm/windows-ce-3.0/_wcepb_Implementing_the_Notification_UI.html
concept_or_overview	_wcepb_Including_a_Command_Processor	chm-windows-ce-3.0	Including a Command Processor	first_line_not_a_declaration	docs/chm/windows-ce-3.0/_wcepb_Including_a_Command_Processor.html
concept_or_overview	_wcepb_Including_a_Handheld_PC_Style_Shell	chm-windows-ce-3.0	Including a Handheld PC Style Shell	no_candidate	docs/chm/windows-ce-3.0/_wcepb_Including_a_Handheld_PC_Style_Shell.html
concept_or_overview	_wcepb_Including_the_Sample_Shell	chm-windows-ce-3.0	Including the Sample Shell	no_candidate	docs/chm/windows-ce-3.0/_wcepb_Including_the_Sample_Shell.html
concept_or_overview	_wcepb_Installing_a_Custom_Shell	chm-windows-ce-3.0	Installing a Custom Shell	first_line_not_a_declaration	docs/chm/windows-ce-3.0/_wcepb_Installing_a_Custom_Shell.html
concept_or_overview	_wcepb_Managing_Power	chm-windows-ce-3.0	Managing Power	no_candidate	docs/chm/windows-ce-3.0/_wcepb_Managing_Power.html
concept_or_overview	_wcepb_Notification_Interaction_with_a_Shell	chm-windows-ce-3.0	Notification Interaction with a Shell	no_candidate	docs/chm/windows-ce-3.0/_wcepb_Notification_Interaction_with_a_Shell.html
concept_or_overview	_wcepb_Notification_Messages_and_Message_Buffers	chm-windows-ce-3.0	Notification Messages and Message Buffers	no_candidate	docs/chm/windows-ce-3.0/_wcepb_Notification_Messages_and_Message_Buffers.html
concept_or_overview	_wcepb_Packet_Filter	chm-windows-ce-3.0	Packet Filter	no_candidate	docs/chm/windows-ce-3.0/_wcepb_Packet_Filter.html
concept_or_overview	_wcepb_Protected_Registry_Keys_and_Values	chm-windows-ce-3.0	Protected Registry Keys and Values	no_candidate	docs/chm/windows-ce-3.0/_wcepb_Protected_Registry_Keys_and_Values.html
concept_or_overview	_wcepb_SHx_Variables	chm-windows-ce-3.0	SHx Variables	no_candidate	docs/chm/windows-ce-3.0/_wcepb_SHx_Variables.html
concept_or_overview	_wcepb_Securing_a_Platform	chm-windows-ce-3.0	Securing a Platform	no_candidate	docs/chm/windows-ce-3.0/_wcepb_Securing_a_Platform.html
concept_or_overview	_wcepb_Setting_Regional_Preferences	chm-windows-ce-3.0	Setting Regional Preferences	no_candidate	docs/chm/windows-ce-3.0/_wcepb_Setting_Regional_Preferences.html
concept_or_overview	_wcepb_Shell_Components	chm-windows-ce-3.0	Shell Components	no_candidate	docs/chm/windows-ce-3.0/_wcepb_Shell_Components.html
concept_or_overview	_wcepb_Signfileexe	chm-windows-ce-3.0	Signfile.exe	first_line_not_a_declaration	docs/chm/windows-ce-3.0/_wcepb_Signfileexe.html
concept_or_overview	_wcepb_Supporting_Notifications_on_Your_Platform	chm-windows-ce-3.0	Supporting Notifications on Your Platform	no_candidate	docs/chm/windows-ce-3.0/_wcepb_Supporting_Notifications_on_Your_Platform.html
concept_or_overview	_wcepb_System_Events_Database	chm-windows-ce-3.0	System Events Database	no_candidate	docs/chm/windows-ce-3.0/_wcepb_System_Events_Database.html
concept_or_overview	_wcepb_Timer_Events_Database	chm-windows-ce-3.0	Timer Events Database	no_candidate	docs/chm/windows-ce-3.0/_wcepb_Timer_Events_Database.html
concept_or_overview	_wcepb_Transitioning_Between_Power_States	chm-windows-ce-3.0	Transitioning Between Power States	no_candidate	docs/chm/windows-ce-3.0/_wcepb_Transitioning_Between_Power_States.html
concept_or_overview	_wcepb_Two_and_Four_Digit_Dates_in_Windows_CE	chm-windows-ce-3.0	Two-Digit and Four-Digit Dates in Windows CE	no_candidate	docs/chm/windows-ce-3.0/_wcepb_Two_and_Four_Digit_Dates_in_Windows_CE.html
concept_or_overview	_wcepb_Using_the_Base_Notification_Engine	chm-windows-ce-3.0	Using the Base Notification Engine	no_candidate	docs/chm/windows-ce-3.0/_wcepb_Using_the_Base_Notification_Engine.html
concept_or_overview	_wcepb_Verifying_a_Signature	chm-windows-ce-3.0	Verifying a Signature	size_out_of_range	docs/chm/windows-ce-3.0/_wcepb_Verifying_a_Signature.html
concept_or_overview	_wcepb_Windows_CE_for_OEMs	chm-windows-ce-3.0	Windows CE for OEMs	no_candidate	docs/chm/windows-ce-3.0/_wcepb_Windows_CE_for_OEMs.html
concept_or_overview	_wcesdk_25_Pin_Connectors	chm-windows-ce-3.0	25-Pin Connectors	no_candidate	docs/chm/windows-ce-3.0/_wcesdk_25_Pin_Connectors.html
concept_or_overview	_wcesdk_9_Pin_Connectors	chm-windows-ce-3.0	9-Pin Connectors	no_candidate	docs/chm/windows-ce-3.0/_wcesdk_9_Pin_Connectors.html
concept_or_overview	_wcesdk_API_Considerations	chm-windows-ce-3.0	API Considerations	no_candidate	docs/chm/windows-ce-3.0/_wcesdk_API_Considerations.html
concept_or_overview	_wcesdk_About_Registry_Security	chm-windows-ce-3.0	About Registry Security	no_candidate	docs/chm/windows-ce-3.0/_wcesdk_About_Registry_Security.html
concept_or_overview	_wcesdk_About_the_User_Interface_Code_Samples	chm-windows-ce-3.0	About the User Interface Code Samples (Windows CE 3.0 User Interface Services)	no_candidate	docs/chm/windows-ce-3.0/_wcesdk_About_the_User_Interface_Code_Samples.html
concept_or_overview	_wcesdk_Accessing_Files_on_Other_Storage_Media	chm-windows-ce-3.0	Accessing Files on Other Storage Media	statement_keyword	docs/chm/windows-ce-3.0/_wcesdk_Accessing_Files_on_Other_Storage_Media.html
concept_or_overview	_wcesdk_Accessing_Remote_File_Systems	chm-windows-ce-3.0	Accessing Remote File Systems	no_candidate	docs/chm/windows-ce-3.0/_wcesdk_Accessing_Remote_File_Systems.html
concept_or_overview	_wcesdk_Accessing_a_Smart_Card	chm-windows-ce-3.0	Accessing a Smart Card	no_candidate	docs/chm/windows-ce-3.0/_wcesdk_Accessing_a_Smart_Card.html
concept_or_overview	_wcesdk_Accessing_the_Internet_Using_a_Modem	chm-windows-ce-3.0	Accessing the Internet Using a Modem	no_candidate	docs/chm/windows-ce-3.0/_wcesdk_Accessing_the_Internet_Using_a_Modem.html
identifier_title_no_requirements	_wcesdk_ActiveSync	chm-windows-ce-3.0	ActiveSync	no_candidate	docs/chm/windows-ce-3.0/_wcesdk_ActiveSync.html
identifier_title_no_requirements	_wcesdk_AddReg	chm-windows-ce-3.0	AddReg	first_line_not_a_declaration	docs/chm/windows-ce-3.0/_wcesdk_AddReg.html
concept_or_overview	_wcesdk_Adding_Callback_Items_and_Callback_Masks	chm-windows-ce-3.0	Adding Callback Items and Callback Masks (Windows CE 3.0 User Interface Services)	statement_keyword	docs/chm/windows-ce-3.0/_wcesdk_Adding_Callback_Items_and_Callback_Masks.html
concept_or_overview	_wcesdk_Adding_Columns	chm-windows-ce-3.0	Adding Columns (Windows CE 3.0 User Interface Services)	statement_keyword	docs/chm/windows-ce-3.0/_wcesdk_Adding_Columns.html
concept_or_overview	_wcesdk_Adding_Content_to_a_Help_File	chm-windows-ce-3.0	Adding Content to a Help File	no_candidate	docs/chm/windows-ce-3.0/_wcesdk_Adding_Content_to_a_Help_File.html
concept_or_overview	_wcesdk_Adding_Custom_Menus_to_Windows_CE_Explorer	chm-windows-ce-3.0	Adding Custom Menus to Windows CE Explorer	first_line_not_a_declaration	docs/chm/windows-ce-3.0/_wcesdk_Adding_Custom_Menus_to_Windows_CE_Explorer.html
prose_page_code_fragment	_wcesdk_Adding_Header_Control_Items	chm-windows-ce-3.0	Adding Header Control Items (Windows CE 3.0 User Interface Services)	matched	docs/chm/windows-ce-3.0/_wcesdk_Adding_Header_Control_Items.html
concept_or_overview	_wcesdk_Adding_Help_to_an_Application	chm-windows-ce-3.0	Adding Help to an Application	no_candidate	docs/chm/windows-ce-3.0/_wcesdk_Adding_Help_to_an_Application.html
concept_or_overview	_wcesdk_Adding_Items_and_Subitems	chm-windows-ce-3.0	Adding Items and Subitems (Windows CE 3.0 User Interface Services)	no_candidate	docs/chm/windows-ce-3.0/_wcesdk_Adding_Items_and_Subitems.html
concept_or_overview	_wcesdk_Adding_Programs_to_and_Removing_Programs_from_a_Device	chm-windows-ce-3.0	Adding Programs to and Removing Programs from a Device	no_candidate	docs/chm/windows-ce-3.0/_wcesdk_Adding_Programs_to_and_Removing_Programs_from_a_Device.html
concept_or_overview	_wcesdk_Adding_Support_for_a_Hot_Key	chm-windows-ce-3.0	Adding Support for a Hot Key (Windows CE 3.0 User Interface Services)	no_candidate	docs/chm/windows-ce-3.0/_wcesdk_Adding_Support_for_a_Hot_Key.html
concept_or_overview	_wcesdk_Adding_Tab_Stops_and_Margins	chm-windows-ce-3.0	Adding Tab Stops and Margins (Windows CE 3.0 User Interface Services)	no_candidate	docs/chm/windows-ce-3.0/_wcesdk_Adding_Tab_Stops_and_Margins.html
concept_or_overview	_wcesdk_Adding_Text_to_the_Status_Bar	chm-windows-ce-3.0	Adding Text to the Status Bar (Windows CE 3.0 User Interface Services)	no_candidate	docs/chm/windows-ce-3.0/_wcesdk_Adding_Text_to_the_Status_Bar.html
concept_or_overview	_wcesdk_Adding_a_Help_File_to_the_All_Topics_List	chm-windows-ce-3.0	Adding a Help File to the All Topics List	statement_keyword	docs/chm/windows-ce-3.0/_wcesdk_Adding_a_Help_File_to_the_All_Topics_List.html
concept_or_overview	_wcesdk_Adding_an_Entry_to_the_IP_Forward_Table	chm-windows-ce-3.0	Adding an Entry to the IP Forward Table	statement_keyword	docs/chm/windows-ce-3.0/_wcesdk_Adding_an_Entry_to_the_IP_Forward_Table.html
concept_or_overview	_wcesdk_Adding_an_Image_List_to_a_Tab_Control	chm-windows-ce-3.0	Adding an Image List to a Tab Control (Windows CE 3.0 User Interface Services)	no_candidate	docs/chm/windows-ce-3.0/_wcesdk_Adding_an_Image_List_to_a_Tab_Control.html
