#symbol	book_count	per_book(book|kind|header|library)
_c_ule_vl	1	mslearn-windows-ce-net-4x|function|Mipsintr.h|
_c_ule_vu	1	mslearn-windows-ce-net-4x|function|Mipsintr.h|
_c_ult_ps	1	mslearn-windows-ce-net-4x|function|Mipsintr.h|
_c_ult_sl	1	mslearn-windows-ce-net-4x|function|Mipsintr.h|
_c_ult_su	1	mslearn-windows-ce-net-4x|function|Mipsintr.h|
_c_ult_vl	1	mslearn-windows-ce-net-4x|function|Mipsintr.h|
_c_ult_vu	1	mslearn-windows-ce-net-4x|function|Mipsintr.h|
_c_un_ps	1	mslearn-windows-ce-net-4x|function|Mipsintr.h|
_c_un_sl	1	mslearn-windows-ce-net-4x|function|Mipsintr.h|
_c_un_su	1	mslearn-windows-ce-net-4x|function|Mipsintr.h|
_c_un_vl	1	mslearn-windows-ce-net-4x|function|Mipsintr.h|
_c_un_vu	1	mslearn-windows-ce-net-4x|function|Mipsintr.h|
_cabs	1	mslearn-windows-ce-5.0|function|stdlib.h|coredll.dll
_CacheRelease	2	mslearn-windows-ce-5.0|function|Cmnintrin.h|	mslearn-windows-ce-net-4x|function|Cmnintrin.h|
_CacheWriteBack	2	mslearn-windows-ce-5.0|function|Cmnintrin.h|	mslearn-windows-ce-net-4x|function|Cmnintrin.h|
_CEDUMP_BUCKET_PARAMETERS	2	mslearn-windows-ce-5.0|struct|DwCeDump.h|	mslearn-windows-embedded-ce-6.0|struct||
_CEDUMP_ELEMENT_LIST	2	mslearn-windows-ce-5.0|struct|DwCeDump.h|	mslearn-windows-embedded-ce-6.0|struct||
_CEDUMP_EXCEPTION	2	mslearn-windows-ce-5.0|struct|DwCeDump.h|	mslearn-windows-embedded-ce-6.0|struct||
_CEDUMP_EXCEPTION_STREAM	2	mslearn-windows-ce-5.0|struct|DwCeDump.h|	mslearn-windows-embedded-ce-6.0|struct||
_CEDUMP_FIELD_INFO	2	mslearn-windows-ce-5.0|struct|DwCeDump.h|	mslearn-windows-embedded-ce-6.0|struct||
_CEDUMP_MEMORY_LIST	2	mslearn-windows-ce-5.0|struct|DwCeDump.h|	mslearn-windows-embedded-ce-6.0|struct||
_CEDUMP_SYSTEM_INFO	2	mslearn-windows-ce-5.0|struct|DwCeDump.h|	mslearn-windows-embedded-ce-6.0|struct||
_CEDUMP_THREAD_CALL_STACK	2	mslearn-windows-ce-5.0|struct|DwCeDump.h|	mslearn-windows-embedded-ce-6.0|struct||
_CEDUMP_THREAD_CALL_STACK_FRAME	2	mslearn-windows-ce-5.0|struct|DwCeDump.h|	mslearn-windows-embedded-ce-6.0|struct||
_CEDUMP_THREAD_CALL_STACK_LIST	2	mslearn-windows-ce-5.0|struct|DwCeDump.h|	mslearn-windows-embedded-ce-6.0|struct||
_chgsign	1	mslearn-windows-ce-5.0|function|float.h|coredll.dll
_Convolve	3	mslearn-windows-ce-5.0|function|shintr.h|	mslearn-windows-ce-net-4x|function|shintr.h|	mslearn-windows-embedded-ce-6.0|function|shintr.h|
_CopyDoubleFromInt64	3	mslearn-windows-ce-5.0|function|Cmnintrin.h|	mslearn-windows-ce-net-4x|function|Cmnintrin.h|	mslearn-windows-embedded-ce-6.0|function|cmnintrin.h|
_CopyFloatFromInt32	3	mslearn-windows-ce-5.0|function|Cmnintrin.h|	mslearn-windows-ce-net-4x|function|Cmnintrin.h|	mslearn-windows-embedded-ce-6.0|function|cmnintrin.h|
_CopyInt32FromFloat	3	mslearn-windows-ce-5.0|function|Cmnintrin.h|	mslearn-windows-ce-net-4x|function|Cmnintrin.h|	mslearn-windows-embedded-ce-6.0|function|cmnintrin.h|
_CopyInt64FromDouble	3	mslearn-windows-ce-5.0|function|Cmnintrin.h|	mslearn-windows-ce-net-4x|function|Cmnintrin.h|	mslearn-windows-embedded-ce-6.0|function|cmnintrin.h|
_copysign	1	mslearn-windows-ce-5.0|function|float.h|coredll.dll
_CountLeadingOnes	2	mslearn-windows-ce-5.0|function|Cmnintrin.h|	mslearn-windows-ce-net-4x|function|Cmnintrin.h|
_CountLeadingOnes64	2	mslearn-windows-ce-5.0|function|Cmnintrin.h|	mslearn-windows-ce-net-4x|function|Cmnintrin.h|
_CountLeadingSigns	2	mslearn-windows-ce-5.0|function|Cmnintrin.h|	mslearn-windows-ce-net-4x|function|Cmnintrin.h|
